url,image,name
fullnews.php?news=2244,,Черкаський державний бізнес-коледж презентував нові міжнародні перспективи!
,images/news/2242_1.jpg,""
fullnews.php?news=2242,,"Щиро вітаємо з Днем народження т.в.о. директора,  професора Олега КУКЛІНА!"
,images/news/2241_1.jpg,""
fullnews.php?news=2241,,РОЗПОЧИНАЮТЬСЯ ПЕРЕЗДАЧІ АКАДЕМІЧНОЇ ЗАБОРГОВАНОСТІ! 
,images/news/2240_1.jpg,""
fullnews.php?news=2240,,ПРЕЗЕНТАЦІЯ ЗВІТУ ДИРЕКТОРА ЗА РЕЗУЛЬТАТАМИ РОБОТИ У 2023 РОЦІ
,images/news/2231_1.jpg,""
fullnews.php?news=2231,,ВІТАННЯ ДИРЕКТОРА З РІЗДВОМ ХРИСТОВИМ ТА НОВИМ РОКОМ
,images/news/2239_1.jpg,""
fullnews.php?news=2239,,Підписано меморандум про співпрацю З ТОВ «Аудит Консалтинг Центр»
,images/news/2237_1.jpg,""
fullnews.php?news=2237,,ВІТАЄМО КОЛЕГ ІЗ НАГОРОДЖЕННЯМ МІСЬКИМИ ВІДЗНАКАМИ
,images/news/2238_1.jpg,""
fullnews.php?news=2238,,"ЗВІТ ДИРЕКТОРА ЧЕРКАСЬКОГО ДЕРЖАВНОГО БІЗНЕС-КОЛЕДЖУ ПРОФЕСОРА, ДОКТОРА ЕКОНОМІЧНИХ НАУК КУКЛІНА ОЛЕГА ВОЛОДИМИРОВИЧА ЗА РЕЗУЛЬТАТАМИ РОБОТИ У 2023 РОЦІ"
,images/news/2234_1.jpg,""
fullnews.php?news=2234,,Волонтерство рятує життя
,images/news/2235_1.jpg,""
fullnews.php?news=2235,,288 студентів отримали стипендії на ІІ семестр!
,images/news/2236_1.jpg,""
fullnews.php?news=2236,,Засідання Вченої ради!
,images/news/2232_1.jpg,""
fullnews.php?news=2232,,УСПІШНЕ ЗАВЕРШЕННЯ ПРОЕКТУ I LIVING LABS
,images/news/2233_1.jpg,""
fullnews.php?news=2233,,569 945 грн місячнй стипендіальний фонд
,images/news/2230_1.jpg,""
fullnews.php?news=2230,,БЛАГОДІЙНий НОВОРІЧНий АУКЦІОН
,images/news/2227_1.jpg,""
fullnews.php?news=2227,,Ювілейний 10-тий сезон безоплатних курсів програмування для школярів – IT-KIDS успішно завершено! 
,images/news/2228_1.jpg,""
fullnews.php?news=2228,,творчі ініціатиіви студентів
,images/news/2229_1.jpg,""
fullnews.php?news=2229,,Перегляд робіт студентів кафедри дизайну
,images/news/2226_1.jpg,""
fullnews.php?news=2226,,НОВІ МОЖЛИВОСТІ МІЖНАРОДНОГО СПІВРОБІТНИЦТВА
,images/news/2224_1.jpg,""
fullnews.php?news=2224,,СТУДЕНТСЬКИЙ КОНКУРС «СТРАТЕГІЯ ВЕДЕННЯ БІЗНЕСУ У СОЦІАЛЬНИХ МЕРЕЖАХ» 
,images/news/2225_1.jpg,""
fullnews.php?news=2225,,28 студентів отримають матеріальну допомогу в грудні!
,images/news/2222_1.jpg,""
fullnews.php?news=2222,,ЧЕРКАСЬКИЙ ДЕРЖАВНИЙ БІЗНЕС-КОЛЕДЖ СТАВ ПЕРШИМ СЕРЕД КОЛЕДЖІВ УКРАЇНИ У МІЖНАРОДНОМУ РЕЙТИНГУ UKRAINIAN NATIONAL H-INDEX RANKING.
,images/news/2217_1.jpg,""
fullnews.php?news=2217,,Завершено конкурсний відбір студентів  у програмі «ЕРАЗМУС+»
,images/news/2218_1.jpg,""
fullnews.php?news=2218,,Гуманітарна ініціатива студентів: допомога евакуйованим тваринам
,images/news/2219_1.jpg,""
fullnews.php?news=2219,,Студентський конкурс проєктів маркетингових івентів
,images/news/2220_1.jpg,""
fullnews.php?news=2220,,Презентація фірмового стилю для Черкаської дитячої художньої школи! 
,images/news/2221_1.jpg,""
fullnews.php?news=2221,,"зимова вікторина до Нового року ""New Year Resolutions"""
,images/news/2223_1.jpg,""
fullnews.php?news=2223,,СТУДЕНТИ-ПЕРШОКУРСНИКИ ДОСЛІДЖУВАЛИ ЯКІСТЬ ПИТНОЇ ВОДИ
,images/news/2215_1.jpg,""
fullnews.php?news=2215,,ЗАСІДАННЯ СТУДЕНТСЬКОГО НАУКОВОГО КЛУБУ «ВІДКРИТИЙ ПРОСТІР» («OPEN SPACE»)
,images/news/2216_1.jpg,""
fullnews.php?news=2216,,"Фінансова гра ""Спіймай успіх"" де змагалися за володіння фінансовими та економічними знаннями!"
,images/news/2214_1.jpg,""
fullnews.php?news=2214,,Регіональні  історичні студії «Стежками історії рідної Черкащини»
,images/news/2212_1.jpg,""
fullnews.php?news=2212,,+1 навчальний корпус
,images/news/2209_1.jpg,""
fullnews.php?news=2209,,ВІТАЄМО АНГЕЛІНУ НАУМЕНКО - НОВООБРАНУ ГОЛОВУ СТУДЕНТСЬКОЇ РАДИ ЧДБК!
,images/news/2208_1.jpg,""
fullnews.php?news=2208,,"Студентська науково-практична конференція 
«Тенденції розвитку ІТ-технологій в Україні»
"
,images/news/2205_1.jpg,""
fullnews.php?news=2205,,Студенти бізнес-коледжу представляли Україну на міжнародному проекті «I Living Labs» в Австрії
,images/news/2206_1.jpg,""
fullnews.php?news=2206,,Студентська екскурсія в світ індустрії: підвищення фахового рівня знань на виробничому підприємстві
,images/news/2207_1.jpg,""
fullnews.php?news=2207,,"""Золотий хрест"" від Залужного отримав випускник ЧДБК"
,images/news/2211_1.jpg,""
fullnews.php?news=2211,,Екскурсія-лекція студентів відділення підприємництва та маркетингу на ТОВ «Біофарма Плазма»
,images/news/2203_1.jpg,""
fullnews.php?news=2203,,Волонтери ЧДБК відвідали поранених військових у лікарні!
,images/news/2204_1.jpg,""
fullnews.php?news=2204,,Творчий Успіх та Благодійність: викладача кафедри дизайну та соціально-культурних дисциплін Максима Гладька!
,images/news/2201_1.jpg,""
fullnews.php?news=2201,,МАЙСТЕР-КЛАС «ІНСТРУМЕНТИ КІБЕРВІЙНИ»
,images/news/2202_1.jpg,""
fullnews.php?news=2202,,"ПРОГРАМА «ІНІЦІАТИВА МІСЦЕВИХ КОЛЕДЖІВ» США 
НА 2024-2025 РОКИ ВІДКРИТА
"
,images/news/2210_1.jpg,""
fullnews.php?news=2210,,Прокладаючи шлях до успішної кар'єри: воркшоп з роздрібної торгівлі для студентів відділення підприємництва та маркетингу!
,images/news/2200_1.jpg,""
fullnews.php?news=2200,,ВОЛОНТЕРИ ЧДБК ПРОВЕЛИ МАЙСТЕР-КЛАС ДЛЯ ДІТЕЙ ЧЕРКАС!
,images/news/2199_1.jpg,""
fullnews.php?news=2199,,"ГЕНЕРАЛЬНИЙ ДИРЕКТОР ДИРЕКТОРАТУ ФАХОВОЇ ПЕРЕДВИЩОЇ, ВИЩОЇ ОСВІТИ МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ ВІДВІДАВ ЧЕРКАСЬКИЙ ДЕРЖАВНИЙ БІЗНЕС-КОЛЕДЖ"
,images/news/2198_1.jpg,""
fullnews.php?news=2198,,Шановні студенти!
,images/news/2195_1.jpg,""
fullnews.php?news=2195,,I Living Lab - стажування студентів в Австрії
,images/news/2196_1.jpg,""
fullnews.php?news=2196,,КІБЕРБЕЗПЕКА В УМОВАХ ВІЙНИ
,images/news/2197_1.jpg,""
fullnews.php?news=2197,,БРЕЙН-РИНГ «У СВІТІ ІТ-ТЕХНОЛОГІЙ»
,images/news/2213_1.jpg,""
fullnews.php?news=2213,," воркшоп на тему «SEO: розуміння, застосування та можливості кар’єрного росту»"
,images/news/2194_1.jpg,""
fullnews.php?news=2194,,ОНЛАЙН ЗУСТРІЧ ЗІ СТУДЕНТАМИ- УЧАСНИКАМИ ПРОГРАМИ ДЕРЖДЕПАРТАМЕНТУ США «ІНІЦІАТИВА МІСЦЕВИХ КОЛЕДЖІВ» 
,images/news/2192_1.jpg,""
fullnews.php?news=2192,,КАНДИДАТИ НА ПОСАДУ ГОЛОВИ СТУДЕНТСЬКОЇ РАДИ!
,images/news/2193_1.jpg,""
fullnews.php?news=2193,,СТВОРЕННЯ НОВОРІЧНИХ КАРТИН З ДІТЬМИ ВПО!
,images/news/2191_1.jpg,""
fullnews.php?news=2191,,УВАГА !!!
,images/news/2140_1.jpg,""
fullnews.php?news=2140,,ЧДБК УВІЙШОВ ДО ДЕСЯТИ НАЙПОПУЛЯРНІШИХ КОЛЕДЖІВ УКРАЇНИ!
,images/news/2188_1.jpg,""
fullnews.php?news=2188,,ВИПУСКНИК ЧЕРКАСЬКОГО ДЕРЖАВНОГО БІЗНЕС-КОЛЕДЖУ УВІЙШОВ ДО ТОП-100 ЛІДЕРІВ УКРАЇНИ!
,images/news/2189_1.jpg,""
fullnews.php?news=2189,,Відкрита лекція «Стоки: міфи та реальність»
,images/news/2190_1.jpg,""
fullnews.php?news=2190,,Результати  І етапу ХІV Міжнародного мовно-літературного конкурсу ім.Т.Шевченка
,images/news/2185_1.jpg,""
fullnews.php?news=2185,,ОФІЦІЙНА ІНФОРМАЦІЯ
,images/news/2186_1.jpg,""
fullnews.php?news=2186,,СТУДЕНТИ ЧДБК ПЕРЕГЛЯНУЛИ ФІЛЬМ «20 ДНІВ У МАРІУПОЛІ»
,images/news/2187_1.jpg,""
fullnews.php?news=2187,,ВІТАЄМО КОМАНДУ ЧДБК З ПЕРЕМОГОЮ У ЧЕМПІОНАТІ ЧЕРКАСЬКОЇ ОБЛАСТІ З НАСТІЛЬНОГО ТЕНІСУ!
,images/news/2184_1.jpg,""
fullnews.php?news=2184,,ПРИВІТАННЯ ДО ДНЯ ГІДНОСТІ ТА СВОБОДИ
,images/news/2181_1.jpg,""
fullnews.php?news=2181,,ПОДЯКИ ВОЛОНТЕРАМ ЧДБК ВІД УПРАВЛІННЯ ОСВІТИ І НАУКИ ЧЕРКАСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ!
,images/news/2182_1.jpg,""
fullnews.php?news=2182,,130 710 ГРН – ЗІБРАНО ДЛЯ ДОПОМОГИ ВОЇНАМ ЗСУ!
,images/news/2179_1.jpg,""
fullnews.php?news=2179,,ВИЩА ОСВІТА ТА АМЕРИКАНСЬКА МРІЯ 
,images/news/2180_1.jpg,""
fullnews.php?news=2180,,ІНТЕЛЕКТУАЛЬНА ГРА «АБЕТКА ГРОШЕЙ»
,images/news/2183_1.jpg,""
fullnews.php?news=2183,,НАГОРОДЖЕННЯ АКТИВІСТІВ ВОЛОНТЕРСЬКОГО РУХУ ЧДБК
,images/news/2177_1.jpg,""
fullnews.php?news=2177,,Черкаський міжнародний економічний форум-2023
,images/news/2178_1.jpg,""
fullnews.php?news=2178,,СПОРТИВНИЙ TEAM-BUILDING ЧДБК
,images/news/2176_1.jpg,""
fullnews.php?news=2176,,Вітаємо команду ЧДБК «Звитяжці»
,images/news/2174_1.jpg,""
fullnews.php?news=2174,,ВЕЧІР РЕКЛАМОЖЕРІВ
,images/news/2175_1.jpg,""
fullnews.php?news=2175,,ПРОФЕСІЙНИЙ РОЗВИТОК: ВОРКШОП ВІД АМЕРИКАНСЬКОГО ПРОФЕСОРА
,images/news/2166_1.jpg,""
fullnews.php?news=2166,,ДИСКУСІЯ «НОВІТНІ ОСВІТНІ ТРЕНДИ – ЄВРОПЕЙСЬКИЙ ДОСВІД» 
,images/news/2167_1.jpg,""
fullnews.php?news=2167,,"Кафедра економіки, управління та адміністрування ЧДБК продовжує співпрацю зі стейкхолдерами Черкащини!"
,images/news/2168_1.jpg,""
fullnews.php?news=2168,,РЕЗУЛЬТАТИ ГРИ «НАЙРОЗУМНІШИЙ»
,images/news/2169_1.jpg,""
fullnews.php?news=2169,,З ГЛИБОКИМ СУМОМ ПОВІДОМЛЯЄМО ПРО СМЕРТЬ ПАНАСЕНКА ВІКТОРА ПЕТРОВИЧА
,images/news/2170_1.jpg,""
fullnews.php?news=2170,,"ЗУСТРІЧ З ВИПУСКНИКОМ КАФЕДРИ ""ДИЗАЙН"" ЧДБК РОМАНОМ ШПИЛЬОВИМ"
,images/news/2171_1.jpg,""
fullnews.php?news=2171,,Результати ХХІV Міжнародного конкурсу знавців української мови ім. Петра Яцика
,images/news/2172_1.jpg,""
fullnews.php?news=2172,,Коріння і крона рідної мови
,images/news/2173_1.jpg,""
fullnews.php?news=2173,,"""Бібліотеки - це скарбниці всіх багатств людського духу"""
,images/news/2164_1.jpg,""
fullnews.php?news=2164,,ВІТАЄМО ПЕРЕМОЖЦІВ ФІНАНСОВО-БУХГАЛТЕРСЬКОГО КВЕСТУ
,images/news/2165_1.jpg,""
fullnews.php?news=2165,,РЕЗУЛЬТАТИ ПОЛІЦЕЙСЬКОЇ КОМІСІЇ В ЧЕРКАСАХ
,images/news/2160_1.jpg,""
fullnews.php?news=2160,,ЧЕМПІОНАТ ЧЕРКАСЬКОЇ ОБЛАСТІ З ШАХІВ
,images/news/2161_1.jpg,""
fullnews.php?news=2161,,ЩИРО ВДЯЧНІ АМЕРИКАНСЬКОМУ ДРУГУ ЗА ПІДТРИМКУ
,images/news/2162_1.jpg,""
fullnews.php?news=2162,,ЗАПРОВАДЖЕННЯ У НАВЧАЛЬНИЙ ПРОЦЕС ЧДБК МЕТОДИКИ СПІЛЬНОГО ПРОВЕДЕННЯ ЗАНЯТЬ З ПРАКТИКАМИ-ФАХІВЦЯМИ
,images/news/2163_1.jpg,""
fullnews.php?news=2163,,День Гарбуза !!!
,images/news/2151_1.jpg,""
fullnews.php?news=2151,,ЧДБК ПЕРЕДАВ АВТО ДЛЯ ЗСУ
,images/news/2158_1.jpg,""
fullnews.php?news=2158,,В ЧДБК ПРОВОДЯТЬСЯ ПРОТИПОЖЕЖНІ ТРЕНУВАННЯ
,images/news/2159_1.jpg,""
fullnews.php?news=2159,,Засідання Ради молоді Черкаській обласній організації Профспілки працівників освіти і науки України
,images/news/2157_1.jpg,""
fullnews.php?news=2157,,Онлайн-екскурсія Музеєм грошей НБУ
,images/news/2155_1.jpg,""
fullnews.php?news=2155,,БЛАГОДІЙНИЙ ЯРМАРОК ЧДБК
,images/news/2152_1.jpg,""
fullnews.php?news=2152,,Радіодиктант націонаотної єдності-2023
,images/news/2153_1.jpg,""
fullnews.php?news=2153,,Мільйон дерев пам'яті та життя!
,images/news/2154_1.jpg,""
fullnews.php?news=2154,,ГАРБУЗОВІ ПЕРЕГОНИ ДЛЯ ДІТЕЙ З ОСОБЛИВИМИ ПОТРЕБАМИ 
,images/news/2156_1.jpg,""
fullnews.php?news=2156,,"ПРАКТИЧНИЙ ВОРКШОП ""МІЙ ФІНАНСОВИЙ ПЛАН"""
,images/news/2148_1.jpg,""
fullnews.php?news=2148,,"ВРУЧЕННЯ ДИПЛОМІВ ВИПУСКНИКАМ УНІВЕРСИТЕТУ ПРИКЛАДНИХ НАУК ISMA (М.РИГА, ЛАТВІЯ)"
,images/news/2149_1.jpg,""
fullnews.php?news=2149,,TRIARE в Черкаському державному бізнес-коледжі! 
,images/news/2150_1.jpg,""
fullnews.php?news=2150,,ЧЕРКАСЬКИЙ ДЕРЖАВНИЙ БІЗНЕС-КОЛЕДЖ – ЛІДЕР ІННОВАЦІЙ В ОСВІТІ
,images/news/2145_1.jpg,""
fullnews.php?news=2145,,Презентаційна зустріч стейкхолдера ТОВ «Аудит Консалтинг Центр» зі студентами ЧДБК 
,images/news/2146_1.jpg,""
fullnews.php?news=2146,,"Студенти Кафедри економіки, управління та адміністрування ЧДБК відвідали ТОВ ""Біржа АПК ЦО України"""
,images/news/2147_1.jpg,""
fullnews.php?news=2147,,ДЕНЬ МАРКЕТОЛОГА 
,images/news/2144_1.jpg,""
fullnews.php?news=2144,,Інтерв`ю з американським журналістом Victor Williams
,images/news/2143_1.jpg,""
fullnews.php?news=2143,,ОПАЛЮВАЛЬНИЙ СЕЗОН 2023 РОЗПОЧАТО
,images/news/2141_1.jpg,""
fullnews.php?news=2141,,Лекція по страхуванню від випускниці ЧДБК Ірини Глуховченко
,images/news/2142_1.jpg,""
fullnews.php?news=2142,,"Тренінг-курс ""Бухгалтерське документування"""
,images/news/2139_1.jpg,""
fullnews.php?news=2139,,Живильна роса творів Юлії Гончар
,images/news/2137_1.jpg,""
fullnews.php?news=2137,,ФІНІШНА ЛІНІЯ: СПОРТИВНІ ЗМАГАННЯ ДЛЯ ІІ-ГО КУРСУ
,images/news/2138_1.jpg,""
fullnews.php?news=2138,,Розвиваємося й не зупиняємося!!!
,images/news/2134_1.jpg,""
fullnews.php?news=2134,,"Співпраця ЧДБК з Черкаською міською радою продовжується!
"
,images/news/2135_1.jpg,""
fullnews.php?news=2135,,"ІНТЕЛЕКТУАЛЬНА ВІКТОРИНА ""ТЕРИТОРІЯ УСПІХУ"""
,images/news/2136_1.jpg,""
fullnews.php?news=2136,,"СТУДЕНТИ ЧДБК ВІДВІДАЛИ ТРЕНІНГ ""МЕДІА ПІД ЧАС ВІЙНИ"""
,images/news/2130_1.jpg,""
fullnews.php?news=2130,,АМЕРИКАНСЬКИЙ ГІСТЬ ВИКЛАДАЄ У БІЗНЕС-КОЛЕДЖІ
,images/news/2127_1.jpg,""
fullnews.php?news=2127,,Інтерактивний івент - стежка ментального здоров'я!
,images/news/2128_1.jpg,""
fullnews.php?news=2128,,"ВОЛОНТЕРИ ЧДБК ПРОВЕЛИ МАЙСТЕР-КЛАС ""УКРАЇНА - ЦЕ Я""!"
,images/news/2129_1.jpg,""
fullnews.php?news=2129,,"СТАРТУЄ 10 СЕЗОН БЕЗКОШТОВНИХ КУРСІВ ПРОГРАМУВАННЯ ""IT-KIDS""!"
,images/news/2131_1.jpg,""
fullnews.php?news=2131,,СПОРТИВНІ ЗМАГАННЯ ДЛЯ ІІ-ГО КУРСУ
,images/news/2132_1.jpg,""
fullnews.php?news=2132,,Співпраця бізнес-коледжу та  Черкаської обласної державної адміністрації з питань кібербезпеки
,images/news/2123_1.jpg,""
fullnews.php?news=2123,,22 000 грн виділено з Фонду підтримки воїнів ЗСУ
,images/news/2124_1.jpg,""
fullnews.php?news=2124,,Відбулася відкрита англомовна лекція на тему «Україна: дискусія про геноцид».
,images/news/2125_1.jpg,""
fullnews.php?news=2125,,РАДІ ВІТАТИ ДОКТОРА ДЖОНСОНА У ЧЕРКАСЬКОМУ ДЕРЖАВНОМУ БІЗНЕС-КОЛЕДЖІ
,images/news/2126_1.jpg,""
fullnews.php?news=2126,,ЕКОНОМІЧНИЙ КВЕСТ
,images/news/2121_1.jpg,""
fullnews.php?news=2121,,ПРИЗНАЧЕНА ДЕРЖАВНА СТИПЕНДІЯ ДЛЯ ВИДАТНИХ ДІЯЧІВ ОСВІТИ 
,images/news/2122_1.jpg,""
fullnews.php?news=2122,,ІНТЕЛЕКТУАЛЬНА ГРА «Я - МАЙБУТНІЙ ЕКОНОМІСТ»
,images/news/2104_1.jpg,""
fullnews.php?news=2104,,X сезон безкоштових курсів програмування для школярів - ITKIDS!
,images/news/2120_1.jpg,""
fullnews.php?news=2120,,РІШЕННЯ АТЕСТАЦІЙНОЇ КОМІСІЇ
,images/news/2117_1.jpg,""
fullnews.php?news=2117,,Першокурсники активно приєднуються до волонтерської діяльності в Черкаському державному бізнес-коледжі!
,images/news/2118_1.jpg,""
fullnews.php?news=2118,,GRANT ПРОГРАМИ ЄС «Erasmus+ KA1 & KA2” у Черкаський державний бізнес-коледжі
,images/news/2119_1.jpg,""
fullnews.php?news=2119,,Лекція для студентів І курсу у рамках проєкту STUDIT OPEN разом із партнерами Cherkasy IT Cluster Group
,images/news/2133_1.jpg,""
fullnews.php?news=2133,,«Скажи мені українською» 
,images/news/2116_1.jpg,""
fullnews.php?news=2116,,ВІТАЄМО ДАР'Ю ШЕВЧЕНКО З ПЕРЕМОГОЮ
,images/news/2112_1.jpg,""
fullnews.php?news=2112,,ПРИВІТАННЯ ДО ДНЯ ЗАХИСНИКІВ ТА ЗАХИСНИЦЬ УКРАЇНИ
,images/news/2114_1.jpg,""
fullnews.php?news=2114,,Обласний тренінг-ретрит для молодіжних працівників та волонтерів «Молодіжна робота в громаді під час війни» 
,images/news/2115_1.jpg,""
fullnews.php?news=2115,,WELCOME - ТРЕНІНГ ДЛЯ ПЕРШОКУРСНИКІВ «ВІД СТУДЕНТА ДО УСПІШНОГО БІЗНЕСМЕНА»
,images/news/2110_1.jpg,""
fullnews.php?news=2110,,ВІТАННЯ ДИРЕКТОРА З НАГОДИ ДНЯ ПРАЦІВНИКІВ ОСВІТИ! 
,images/news/2113_1.jpg,""
fullnews.php?news=2113,,День працівників освіти
,images/news/2108_1.jpg,""
fullnews.php?news=2108,,"ВИДАЧА БАНКІВСЬКИХ КАРТ ПЕРШОКУРСНИКАМ ДЛЯ ОТРИМАННЯ СТИПЕНДІЇ
"
,images/news/2109_1.jpg,""
fullnews.php?news=2109,,"ВІДКРИТА ЛЕКЦІЯ НА ТЕМУ: «АУДИТ: ВИМОГИ ЩОДО МОДЕРНІЗАЦІЇ СИСТЕМИ, СУБ'ЄКТИ АУДИТУ КОШТІВ ЄС ТА СУЧАСНИЙ ФІНАНСОВИЙ АУДИТ МІСЦЕВИХ БЮДЖЕТІВ В УКРАЇНІ»"
,images/news/2111_1.jpg,""
fullnews.php?news=2111,,Екскурсія студентів відділення дизайну до Черкаського художнього музею
,images/news/2105_1.jpg,""
fullnews.php?news=2105,,СПОРТИВНІ ЗМАГАННЯ І-ГО КУРСУ
,images/news/2106_1.jpg,""
fullnews.php?news=2106,,"ПРЕЗЕНТАЦІЯ КНИГИ ВОЛОДИМИРА ПАНІОТТО ""СОЦІОЛОГІЯ В АНЕКДОТАХ"""
,images/news/2107_1.jpg,""
fullnews.php?news=2107,,"ЕКСКУРСІЯ ДЛЯ СТУДЕНТІВ ТА ВИКЛАДАЧІВ В ІТ-КОМПАНІЮ ""TRIARE"""
,images/news/2101_1.jpg,""
fullnews.php?news=2101,,КОНКУРС НА УЧАСТЬ У ПРОГРАМІ ERASMUS+
,images/news/2102_1.jpg,""
fullnews.php?news=2102,,КОНКУРС ДЛЯ СТУДЕНТІВ У ПРОГРАМІ ERASMUS+
,images/news/2103_1.jpg,""
fullnews.php?news=2103,,"Фінансова грамотність студентів відділення «Економіки, обліку та фінансів»"
,images/news/2099_1.jpg,""
fullnews.php?news=2099,,Видача студентських квитків 
,images/news/2100_1.jpg,""
fullnews.php?news=2100,,Незабутні жарини Сергія Руднєва
,images/news/2097_1.jpg,""
fullnews.php?news=2097,,Збір на авто продовжується!
,images/news/2098_1.jpg,""
fullnews.php?news=2098,,У ЧДБК ВІДБУЛИСЯ ПРОТИПОЖЕЖНІ ТРЕНУВАННЯ
,images/news/2095_1.jpg,""
fullnews.php?news=2095,,ЗУСТРІЧ З УЧАСНИКОМ ПРОГРАМИ «ОБ’ЄДНАНІ КОЛЕДЖІ СВІТУ» 
,images/news/2096_1.jpg,""
fullnews.php?news=2096,,"Екскурсія для ЧДБК ""Черкаси- один із центрів ІТ-індустрії України"""
,images/news/2092_1.jpg,""
fullnews.php?news=2092,,Виставка студентських робіт до Дня міста
,images/news/2093_1.jpg,""
fullnews.php?news=2093,,СПОРТИВНІ ЗМАГАННЯ І-ГО КУРСУ
,images/news/2094_1.jpg,""
fullnews.php?news=2094,,"ПЕРЕВЕДЕННЯ СТУДЕНТІВ НА МІСЦЯ, ЩО ФІНАНСУЮТЬСЯ ЗА РАХУНОК КОШТІВ РЕГІОНАЛЬНОГО БЮДЖЕТУ  "
,images/news/2091_1.jpg,""
fullnews.php?news=2091,,"МАЙСТЕР-КЛАС ""БАНКНОТА У 10 КРОКІВ"""
,images/news/2090_1.jpg,""
